Interprise,Name,Age,Since,Position,Biography,,,,,,,,,
"Visa Inc.","							Ellen;Richey",67,2014,                                 Vice Chairman - Risk and Public Policy," 					 							Ms. Ellen Richey is Vice Chairman - Risk and Public Policy of the Visa Inc. Prior to which she was Executive Vice President, Chief Legal Officer of the Company. Prior to joining Visa Inc., Ms. Richey worked at Washington Mutual Inc., as Senior Vice President of Enterprise Risk Management and Executive Vice President of Cards Services, from October 2005 to June 2006. Before that, she served as Vice Chairman of Providian Financial Corporation, where she had responsibility for enterprise risk management, legal and regulatory affairs, corporate governance and corporate relations, as well as the compliance and audit functions of the company. Earlier in her career, Ms. Richey was a Partner in the San Francisco law firm Farella, Brown & Martel, where she specialized in corporate, real estate and financial institution matters. Ms. Richey received a B.A. in Linguistics and Far Eastern languages from Harvard University and a J.D. from Stanford Law School. Ms. Richey also served as a law clerk for Judge Charles B. Renfrew of the U.S. District Court for the Northern District of California and for Associate Justice Lewis F. Powell, Jr., of the United States Supreme Court.",,,,,,,,,
"Visa Inc.","							Lynne;Biggar",54,2016,"                                 Executive Vice President, Chief Marketing and Communications Officer"," 					 							Ms. Lynne Biggar is Executive Vice President, Chief Marketing and Communications Officer of the Company. She will also serve as a member of the company's Executive Committee and Operating Committee. Ms. Biggar joins Visa from Time Inc. where she was the Executive Vice President, Consumer Marketing & Revenue. While at Time Inc., Ms. Biggar was responsible for marketing to consumers for all Time Inc. brands across all channels, direct marketing company Synapse, Time Inc. Retail, Time Inc. Books, Consumer Insights, Data Solutions and Time Customer Service. Prior to her role at Time Inc. she spent more than 20 years at American Express in a variety of general management and marketing positions in both the US and international divisions and was a member of the company's Global Management Team. Most recently, Ms. Biggar was Executive Vice President and General Manager of International Card Products and Experiences, where she managed a global organization focused on product management, new product development, travel and lifestyle benefits and servicing. Before joining American Express in 1992 as a marketing manager, Ms. Biggar held various international strategy and marketing positions in San Francisco, Los Angeles and New York. She was named one of Folio's Top Women in Media in 2014, having previously been named one of the 25 most influential women in travel by ForbesLife Executive Woman Magazine. Ms. Biggar holds a BA in international relations from Stanford University and an MBA from Columbia University. She serves on the board of directors of Voya, Marketo and The New 42nd Street.",,,,,,,,,
"Visa Inc.","							Kelly;Tullier",50,2016,"                                 Executive Vice President, General Counsel and Corporate Secretary"," 					 							Ms. Kelly Mahon Tullier is Executive Vice President, General Counsel, Corporate Secretary of the Company. She Leads the global legal and compliance functions for Visa. She Worked at PepsiCo, Inc. as Senior Vice President and Deputy General Counsel, managing the global legal teams supporting the business around the world, as well as centralized teams responsible for mergers and acquisitions, intellectual property, regulatory, litigation and procurement legal matters; also served as Senior Vice President and General Counsel for PepsiCo’s Asia Pacific, Middle East and Africa division, based in Dubai. She was Former Vice President and General Counsel for Frito-Lay, Inc., with responsibility for a wide range of legal, policy and compliance issues and Former associate at Baker Botts LLP and also served as a law clerk for the Honorable Sidney A. Fitzwater, U.S. District Court, Northern District of Texas. She Received her B.A. from Louisiana State University and her J.D., magna cum laude, from Cornell Law School.",,,,,,,,,
"Visa Inc.","							William;Sheedy",49,2013,"                                 Executive Vice President - Corporate Strategy, M&A and Government Relations"," 					 							Mr. William M. Sheedy is Executive Vice President - Corporate Strategy, M&A and Government Relations of the Visa Inc. Mr. Sheedy was appointed as the Global Executive, Corporate Strategy, M&A and Government Relations in May 2013, after having served in a variety of leadership roles with the Company, including Group President – Americas from March 2011 until May 2013, Group Executive – Americas from October 2009 to March 2011, Group President of the North America region from July 2009 to October 2009, President of the North America region from September 2008 to July 2009, and Global Head of Corporate Strategy and Business Development from October 2007 to September 2008. He also served as the Executive Vice President of Finance and Accounting of Visa Inc., acting in the capacity of principal financial officer, from June 2007 until the completion of Visa’s reorganization in October 2007. Previously, he was the Executive Vice President of Interchange Strategy and Corporate Restructuring Initiatives at Visa U.S.A., and in November 2006 assumed responsibility for all financial-related matters associated with the reorganization. From 1990 until joining Visa U.S.A. in 1993, he was employed as a Senior Financial Manager in Corporate Finance at Ford Motor Company’s First Nationwide Bank. Mr. Sheedy holds a Bachelor of Science degree in Finance from West Virginia University and a Master of Business Administration degree from the University of Notre Dame.",,,,,,,,,
"Visa Inc.","							Rajat;Taneja",52,2013,                                 Executive Vice President - Technology," 					 							Mr. Rajat Taneja is Executive Vice President - Technology of the Visa Inc. Prior to joining the Company in November 2013, Mr. Taneja was Executive Vice President and Chief Technology Officer of Electronic Arts Inc., an interactive entertainment software company, from October 2011 until November 2013. From 1996 until 2011, he worked at Microsoft Corporation, a global device manufacturer and software solutions provider, including most recently as the Corporate Vice President, Commerce Division in 2011 and the General Manager and Corporate Vice President, Online Services Division from 2007 to 2011. He holds a Bachelor of Engineering degree in Electrical Engineering from Jadavpur University and a Master of Business Administration degree from Washington State University. He is Currently on the Board of Directors for Ellie Mae, Inc.",,,,,,,,,
"Visa Inc.","							Lloyd;Carney",55,2015,                                 Independent Director," 					 							Mr. Lloyd A. Carney is an Independent Director of Visa Inc. Mr. Carney was appointed Chief Executive Officer (CEO) and a director of Brocade Communications Systems, Inc., a global supplier of networking hardware and software, in January 2013. Prior to this role, he was CEO and a director of Xsigo Systems, an information technology and hardware company, from 2008 to 2012. He also served as CEO and chairman of the board of directors of Micromuse, Inc., a networking management software company, acquired by IBM, from 2003 to 2006. During his career, Mr. Carney held senior leadership roles at Juniper Networks, Inc., Nortel Networks Inc., and Bay Networks, Inc. He was previously a director of Cypress Semiconductor Corporation and Technicolor S.A. He holds B.S. degree in Electrical Engineering Technology and an Honorary PhD from the Wentworth Institute of Technology, and a M.S. degree in Applied Business Management from Lesley College.",,,,,,,,,
"Visa Inc.","							Mary;Cranston",69,2007,                                 Independent Director," 					 							Ms. Mary B. Cranston is an Independent Director of the Visa Inc. She is a Retired Senior Partner of Pillsbury Winthrop Shaw Pittman LLP, an international law firm. She was the Chair and Chief Executive Officer of Pillsbury from January 1999 until April 2006, and continued to serve as Chair of the firm until December 2006. She was Firm Senior Partner until January 2012. Ms. Cranston also serves as a director of International Rectifier Corporation and Juniper Networks, Inc., and previously was a member of the board of Exponent, Inc. and GrafTech International, Inc., until May 2014. Ms. Cranston holds an A.B. degree in Political Science from Stanford University, a Juris Doctor degree from Stanford Law School, and a Master of Arts degree in Educational Psychology from the University of California, Los Angeles.",,,,,,,,,
"Visa Inc.","							Francisco;Fernandez-Carbajal",61,2007,                                 Independent Director," 					 							Mr. Francisco Javier Fernandez-Carbajal is an Independent Director of the Company. Mr. Fernández-Carbajal has been a consultant for public and private investment transactions and a wealth management advisor since January 2002. Mr. Fernández-Carbajal also has served as Director General of Servicios Administrativos Contry S.A. de C.V., a privately held company that provides central administrative and investment management services, since June 2005. From July 2000 to January 2002, Mr. Fernández-Carbajal served as Chief Executive Officer of the Corporate Development Division of Grupo Financiero BBVA Bancomer, S.A., a Mexico-based banking and financial services company that owns BBVA Bancomer, one of Mexico’s largest banks. Prior to this role, he held other senior executive positions at Grupo Financiero BBVA Bancomer since joining in September 1991, serving as President from October 1999 to July 2000, and as Chief Financial Officer from October 1995 to October 1999. Until August 2007, Mr. Fernández-Carbajal also served as a member of the boards of several publicly-traded companies in Mexico, including Grupo Bimbo, S.A.B. de C.V., Grupo Gigante, S.A.B. de C.V., IXE Grupo Financiero, S.A.B. de C.V., and Grupo Lamosa, S.A.B. de C.V.; until March 2008, as a member of the board of El Puerto de Liverpool, S.A.B. de C.V.; until August 2011, as a member of the board of Grupo Aeroportuario del Pacifico, S.A.B. de C.V.; and until May 2014, as a member of the board of Fresnillo, PLC. He currently serves on the boards of directors of CEMEX S.A.B. de C.V. and Fomento Economico Mexicano, S.A.B. de C.V, as well as on the board of directors of ALFA S.A.B. de C.V., which trades only on the BOLSA in Mexico. Mr. Fernández-Carbajal holds a degree in Mechanical and Electrical Engineering from the Instituto Tecnológico y de Estudios Superiores de Monterrey and a Master of Business Administration degree from Harvard Business School.",,,,,,,,,
"Visa Inc.","							Gary;Hoffman",56,2016,                                 Independent Director," 					 							Mr. Gary Andrew Hoffman is Independent Director of the Company. He is currently a director and Chairman of Visa Europe Limited. Mr. Hoffman has been the Chief Executive Officer of Hastings Group, a UK insurance provider, since November 2012. Prior to this role, Mr. Hoffman was Chief Executive Officer of NBNK Investments, an investment vehicle formed in August 2010 to establish personal and business retail banking in the UK, from 2011 to 2012. He also served as Chief Executive Officer of Northern Rock PLC, from 2008 to 2010 and Vice Chairman of Barclays PLC, from 2006 to 2008. Prior to that, he served in various other roles at Barclays Group, including Chairman of UK Banking and Barclaycard at Barclays PLC and Chief Executive Officer of Barclaycard. He holds B.A. degree in Economics from Queens’ College, Cambridge University, and an Honorary PhD from the University of Northampton",,,,,,,,,
"Visa Inc.","							John;Lundgren",65,2017,                                 Independent Director," 					 							Mr. John F. Lundgren serves as Independent Director of the Company. Mr. Lundgren was chief executive officer (CEO) of Stanley Black & Decker, Inc. from March 2010 until his retirement in July 2016. He also served as chairman until December 2016. Previously, Mr. Lundgren served as chairman and CEO of The Stanley Works, a worldwide supplier of consumer products, industrial tools and security solutions for professional, industrial and consumer use, from March 2004 until its merger with Black & Decker in March 2010. During his career, Mr. Lundgren held senior leadership roles at Georgia Pacific Corporation, James River Corporation and Fort James Corporation. Mr. Lundgren serves on the boards of Callaway Golf Company and Staples, Inc. Mr. Lundgren will also serve as a member of the board's audit and risk committee.",,,,,,,,,
"Visa Inc.","							Suzanne;NoraJohnson",59,2007,                                 Independent Director," 					 							Ms. Suzanne Nora Johnson is an Independent Director of Visa Inc. Ms. Nora Johnson was the Vice Chairman of The Goldman Sachs Group, Inc., a bank holding company and a global investment banking, securities and investment management firm, from November 2004 until her retirement in January 2007. Prior to this position, she served in various leadership roles since joining Goldman Sachs, including Chair of the Global Markets Institute, head of the Global Investment Research Division, and head of the Global Healthcare Business. She also founded the firm’s Latin American business. Ms. Nora Johnson currently serves as a director of the American International Group, Inc., Intuit Inc., Pfizer Inc., and as a member of the board of several not-for-profit organizations. Ms. Nora Johnson holds a Bachelor of Arts degree in Economics, Philosophy/Religion and Political Science from the University of Southern California and a Juris Doctor degree from Harvard Law School.",,,,,,,,,
"Visa Inc.","							John;Swainson",62,2013,                                 Independent Director," 					 							Mr. John A. C. Swainson is an Independent Director of the Company. Mr. Swainson was appointed President of the Software Group of Dell Inc., a global computer manufacturer and information technology solutions provider, in February 2012. Prior to joining Dell, Mr. Swainson served as a Senior Advisor to Silver Lake Partners, a global private investment firm, from June 2010 to February 2012. Mr. Swainson was the Chief Executive Officer of CA, Inc. (now CA Technologies), an information technology management software company, from February 2005 to December 2009 and was President and a director of CA, Inc. from November 2004 to December 2009. Prior to his joining CA, Inc., from July 2004 to November 2004, Mr. Swainson was the Vice President of Worldwide Sales for the Software Group of International Business Machines Corporation (IBM), a globally integrated technology company. From 1997 to 2004, Mr. Swainson was General Manager of the Application Integration Middleware division of IBM. He also served as a director of Visa U.S.A. from April 2006 to October 2007, Cadence Design Systems Inc. from February 2006 to May 2012, Assurant Inc. from May 2010 to May 2012 and Broadcom Corporation from August 2010 to May 2012. Mr. Swainson holds a Bachelor of Applied Science degree in Engineering from the University of British Columbia.",,,,,,,,,
"Visa Inc.","							Maynard;Webb",61,2014,                                 Independent Director," 					 							Mr. Maynard G. Webb, Jr. is an Independent Director of the Visa Inc. Mr. Webb is the founder of Webb Investment Network, an early stage investment firm, and a co-founder of Everwise Corporation, a provider of workplace mentoring solutions. Mr. Webb served as the Chairman of the board of LiveOps Inc., a cloud-based call center, from 2011 to 2013 and was its Chief Executive Officer from December 2006 to July 2011. Previously, Mr. Webb was the Chief Operating Officer of eBay, Inc., a global commerce and payments provider, from June 2002 to August 2006, and President of eBay Technologies from August 1999 to June 2002. Prior to joining eBay, Mr. Webb was Senior Vice President and Chief Information Officer at Gateway, Inc., a computer manufacturer, from July 1998 to August 1999, and Vice President and Chief Information Officer at Bay Networks, Inc., a computer networking products manufacturer, from February 1995 to July 1998. Mr. Webb currently serves as the Chairman of the board of Yahoo! Inc. and as a director of salesforce.com, inc. He previously was a director of Extensity, Inc., an Internet-based employee relationship management solutions company; Gartner, Inc., an information technology research and advisory firm; Hyperion Solutions Corporation, a business performance management software company; and Niku Corporation, an information technology management and governance software company. Mr. Webb holds a Bachelor of Applied Arts degree from Florida Atlantic University.",,,,,,,,,
"Vodafone Group plc","							Gerard;Kleisterlee",70,2011,                                 Non-Executive Chairman of the Board," 					 							Mr. Gerard J. Kleisterlee is Non-Executive Chairman of the Board of Vodafone Group Plc. He has extensive experience of senior leadership of global businesses in both the developed and emerging markets. He brings to the Group a deep understanding of the consumer electronics, technology and lifestyle industries gained from his career with Philips Electronics spanning over 30 years and continues to use this experience to oversee the development of Vodafone’s strategy and the effectiveness of its operations as a total communications company.",,,,,,,,,
"Vodafone Group plc","							Vittorio;Colao",55,2008,"                                 Chief Executive, Executive Director"," 					 							Mr. Vittorio Colao is Chief Executive, Executive Director of Vodafone Group Plc. He has over 20 years’ experience working in the telecoms industry, Vittorio has extensive leadership skills developed within both Vodafone and the wider industry and is widely recognised as an outstanding leader in the telecoms sector.",,,,,,,,,
"Vodafone Group plc","							Nicholas;Read",49,2014,"                                 Chief Financial Officer, Executive Director"," 					 							Mr. Nicholas Jonathan Read is Chief Financial Officer, Executive Director of Vodafone Group Plc., effective April 1, 2014. He combines strong operational leadership with a detailed understanding of the industry and its challenges and opportunities. Nick has wide-ranging experience in senior finance roles at both Vodafone and other multinational companies including United Business Media plc and Federal Express Worldwide.",,,,,,,,,
"Vodafone Group plc","							Hannes;Ametsreiter",50,null,                                 Chief Executive Officer – Vodafone Germany," 					 							Dr. Hannes Ametsreiter is Chief Executive Officer – Vodafone Germany of the company. Previous roles include: aaTelkom Austria Group, group chief executive officer (2009–2015) aaA1 Telekom, chief executive officer (2009) aaMobilkom Austria/Telkom Austria, chief marketing officer (2001–2009).",,,,,,,,,
"Vodafone Group plc","							Vivek;Badrinath",48,2016,"                                 Chief Executive, Africa, Middle East and Asia-Pacific"," 					 							Mr. Vivek Badrinath has been appointed as Chief Executive, Africa, Middle East and Asia-Pacific of the Company, effective 15 October 2016. Vivek Badrinath joins Vodafone Group from the international hospitality group AccorHotels where he is the Deputy Chief Executive responsible for marketing, digital solutions, distribution and information systems. He was previously Deputy Chief Executive with Orange and has a long career in telecommunications and technology. Prior roles include Executive Director responsible for Orange's Business Services division, leadership of Orange's global networks and operators division and Chief Technology Officer for Orange's mobile activities. He is a former Chief Executive of the consumer electronics firm Thomson India.",,,,,,,,,
"Vodafone Group plc","							Aldo;Bisio",null,null,                                 Chief Executive Officer – Vodafone Italy," 					 							Mr. Aldo Bisio is Chief Executive Officer – Vodafone Italy of the company. Previous roles include: Ariston Thermo Group, chief executive officer/managing director (2008–2013) McKinsey & Company, senior partner (2007–2008) aaRCS Quotidiani, managing director (2004–2006).",,,,,,,,,
"Vodafone Group plc","							Antonio;Coimbra",null,null,                                 Chief Executive Officer – Vodafone Spain," 					 							Mr. Antonio Coimbra is Chief Executive Officer – Vodafone Spain of the company. Previous roles include: Vodafone Portugal, Chief Executive Officer (2009–2012). Vodafone Portugal, Executive Committee member (1995–2009). Apritel (on behalf of Vodafone Portugal), President (2005–2007). Vodafone Japan, Chief Marketing Officer (2004).",,,,,,,,,
"Vodafone Group plc","							Ahmed;Essam",null,2016,                                 Chief Executive of Vodafone Egypt," 					 							Mr. Ahmed Essam is the Chief Executive of Vodafone Egypt of the Company. He was previously the Commercial Director for Vodafone's Africa, Middle East and Asia-Pacific region and has held a number of senior roles within Vodafone's Group Commercial function. He joined Vodafone Egypt in 1999 and served in a number of local market senior leadership roles including Consumer Business Director and Customer Care Director.",,,,,,,,,
"Vodafone Group plc","							Jeroen;Hoencamp",null,2016,                                 Chief Executive of Vodafone Netherlands," 					 							Mr. Jeroen Hoencamp is appointed as Chief Executive of Vodafone Netherlands of the Company. effective 1 September 2016. He is currently the Chief Executive of Vodafone UK. A Dutch citizen, he has led Vodafone's UK business since September 2013 and was previously Chief Executive of Vodafone Ireland. Before that, he spent 12 years in a number of senior executive roles (including Sales Director and Enterprise Business Unit Director) with Vodafone Netherlands. Earlier in his career he worked in senior marketing and sales positions with Canon Southern Copy Machines, Inc. in the USA and Thorn EMI/Skala Home Electronics in The Netherlands. He is a former officer in the Royal Dutch Marine Corps.",,,,,,,,,
"Vodafone Group plc","							Nicholas;Jeffery",44,2016,                                 Chief Executive of Vodafone UK," 					 							Mr. Nicholas Simon Jeffery is Chief Executive of Vodafone UK of Vodafone Group PLC., since January 2013. Prior to this, he was Chief Executive of Cable & Wireless Worldwide. Nick joined Vodafone in 2004 and was appointed Chief Executive of Vodafone Global Enterprise in 2006. He began his career with Cable & Wireless plc (Mercury Communications) in 1991 and led the company’s UK and international markets business units.",,,,,,,,,
"Vodafone Group plc","							Johan;Wibergh",54,2015,                                 Group Technology Officer," 					 							Mr. Johan Wibergh is Group Technology Officer of the Company. He has responsibility for defining and leading Vodafone’s global technology organisation which includes the organic investment programme and Project Spring. He is integral to developing Vodafone’s convergence strategy on a global scale.",,,,,,,,,
"Vodafone Group plc","							Rosemary;Martin",56,2010,"                                 Group General Counsel, Company Secretary"," 					 							Ms. Rosemary E. S. Martin is Group General Counsel, Company Secretary of Vodafone Group Plc., since March 2010. She previously served as CEO of the Practical Law Group, having previously spent 11 years with Reuters Group Plc in various company secretary and legal roles, with the last five years as Group General Counsel and Company Secretary. Before joining Reuters, she was a partner with Mayer, Brown, Rowe & Maw. Rosemary was admitted as a solicitor in 1984 and holds a degree in Philosophy and Literature and an MBA in Legal Practice. She is a director of several UK institutions including the Legal Services Board and the Institute of Chartered Accountants of England and Wales Corporate Governance Committee. She is also a non-executive director of HSBC Bank Plc (European arm of HSBC Group), and a former member of the Financial Services Authority’s Listing Group Advisory Committee.",,,,,,,,,
"Vodafone Group plc","							Ronald;Schellekens",51,2009,                                 Group Human Resources Director," 					 							Mr. Ronald Adrianus Wilhelmus Schellekens is Group Human Resources Director of Vodafone Group Plc. He has responsibility for leading Vodafone’s people and organisation strategy which includes developing strong talent and leadership, effective organisations, strategic capabilities and an engaging culture and work environment, thereby building strong capabilities in Vodafone to deliver growth.",,,,,,,,,
"Vodafone Group plc","							Paolo;Bertoluzzo",49,2013,                                 Group Chief Commercial Operations & Strategy Officer," 					 							Mr. Paolo Bertoluzzo is Group Chief Commercial Operations & Strategy Officer of Vodafone Group Plc. he was Group Chief Commercial and Operations Officer, was appointed to the Executive Committee with effect from 1 August 2012, when he became Chief Executive Officer, Southern Europe. He became Chief Executive Officer of Vodafone Italy in 2008, a role he continues to hold. He has also been a member of the Board of Vodafone Italy since 2006. He joined Vodafone in 1999, and held the post of Chief Commercial Officer (2007), Chief Operating Officer (2006), and led the Consumer Division of Vodafone Italy (2005). He was a member of the Board of Vodacom from January 2010 to September 2012 and served as a Board member of Vodafone Ireland between November 2005 and February 2007. Paolo is Deputy Chairman of Asstel, the trade association representing the interests of telecommunications companies members of Confindustria (the Confederation of Italian Industry), and sits on the Board of Confindustria Digitale, the industrial federation promoting digital economy in Italy. After graduating in 1990 in Management Engineering from the Politecnico di Milano, he obtained an MBA from INSEAD at Fontainbleau in France in 1994 and began his career in management consulting, working in Italy and the United States.",,,,,,,,,
"Vodafone Group plc","							Brian;Humphries",null,2016,                                 Group Enterprise Director," 					 							Mr. Brian Humphries is the Group Enterprise Director of the Company. He is currently the President and Chief Operating Officer, Infrastructure Solutions Group with Dell EMC. He was previously with Hewlett-Packard where prior roles included Senior Vice President, Emerging Markets, Senior Vice President, Strategy and Corporate Development and Chief of Staff to the Chairman and Chief Executive. He also served as Chief Financial Officer with HP Services. Brian Humphries began his career with Compaq and Digital Equipment Corporation and is a graduate of the University of Ulster.",,,,,,,,,
"Vodafone Group plc","							Matthew;Kirk",null,2009,                                 Group External Affairs Director," 					 							Mr. Matthew Kirk is Group External Affairs Director of Vodafone Group Plc. He leads Vodafone’s engagement with external stakeholders (including governments, regulators, international institutions, the media and industry commentators) in order to project Vodafone’s position on the contribution of our industry to broader policy objectives and on issues of importance to our customers and to the communities in which Vodafone operates. Matthew is also responsible for security, and for the Vodafone Foundation, of which he is a Trustee.",,,,,,,,,
"Vodafone Group plc","							Rob;Shuter",null,null,                                 Chief Executive Officer – Netherlands and Europe Cluster," 					 							Mr. Rob Shuter is Chief Executive Officer – Netherlands and Europe Cluster of the company. His responsibilities: As Chief Executive Officer for Netherlands and Europe cluster, Rob oversees Vodafone’s operations in the Netherlands, Portugal, Ireland, Greece, Romania, Czech Republic, Hungary, Albania and Malta. Previous roles include: Vodafone Netherlands, Chief Executive Officer (2012–2015). Vodacom Group, Finance Director (2009–2012). Nedbank Retail, managing director (2000–2009).",,,,,,,,,
"Vodafone Group plc","							Serpil;Timuray",47,2016,                                 Chief Commercial Operations and Strategy Officer," 					 							Ms. Serpil Timuray has been appointed as Chief Commercial Operations and Strategy Officer of Vodafone Group PLC, effective 15 October 2016. She was appointed Chief Executive of Vodafone Turkey in 2009. She was appointed as a Director on the Board of Vodacom Group in South Africa in September 2012. Previously General Manager with Danone Turkey, Serpil Timuray began her career with Procter and Gamble. She will be succeeded as Vodafone Turkey Chief Executive by Gokhan Ogut who is currently Vodafone Turkey Chief Commercial and Operations Officer.",,,,,,,,,
"Vodafone Group plc","							Maria;Martinez",null,2017,                                 Non-Executive Director," 					 							Ms. Maria Amparo Moraleda Martinez is the Non-Executive Director of the Company. Amparo Moraleda is a Non-Executive Director of Airbus Group, CaixaBank, Solvay and Faurecia and was previously a Non-Executive Director of Alstom and Meliá Hotels International. Amparo Moraleda received a degree in Industrial Engineering from Comillas Pontifical University in Madrid and is also an IESE AMP graduate. She joined IBM in 1988 and spent more than 20 years with the company, becoming President of IBM Southern Europe (Spain, Portugal, Greece, Israel and Turkey) in 2005. In 2009, Amparo Moraleda joined Iberdrola where she was Chief Operating officer of the International Division till 2012. She is a member of the Royal Academy of Economic and Financial Services and was inducted into the Women in Technology International Hall of Fame in 2005.",,,,,,,,,
"Vodafone Group plc","							Crispin;Davis",67,2014,                                 Non-Executive Independent Director," 					 							Sir Crispin Henry Lamert Davis is Non-Executive Independent Director of the Company effective July 28, 2014. He has broad-ranging experience as a business leader in international content and technology markets from his roles as chief executive of Reed Elsevier and the digital agency Aegis Group plc and group managing director of Guinness PLC (now Diageo plc). He was knighted in 2004 for services to publishing and information. He brings a strong commercial perspective to Board discussions.",,,,,,,,,
"Vodafone Group plc","							Mathias;Dopfner",53,2015,                                 Non-Executive Independent Director," 					 							Dr. Mathias Dopfner is Non-Executive Independent Director of Vodafone Group Plc., since 1 April 2015. He brings wide-ranging experience within the global digital media industry to his role. Having led his business, Axel Springer SE, through a highly successful transition into digital and international markets, he provides a digital perspective to the Board’s strategy.",,,,,,,,,
"Vodafone Group plc","							Clara;Furse",60,2014,                                 Non-Executive Independent Director," 					 							Dame Clara H. F. Furse DBE, is Non-Executive Independent Director of the Company effective September 1, 2014. She brings to the Board a deep understanding of international capital markets, regulation, services industries and business transformation developed from her previous roles as chief executive of the London Stock Exchange Group plc and Credit Lyonnais Rouse Ltd. Her financial proficiency is highly valued as a member of the Audit and Risk Committee. In 2008 she was appointed Dame Commander of the Order of the British Empire.",,,,,,,,,
"Vodafone Group plc","							Valerie;Gooding",65,2014,                                 Non-Executive Independent Director," 					 							Ms. Valerie Frances Gooding has been appointed as the Senior Non-Executive Independent Director of the Company effective July 28, 2017. She brings a wealth of international business experience obtained at companies with high levels of customer service including British Airways and as chief executive of BUPA which, together with her focus on leadership and talent, is greatly valuable to Board discussions.",,,,,,,,,
"Vodafone Group plc","							Renee;James",53,2011,                                 Non-Executive Independent Director," 					 							Ms. Renee J. James is Non-Executive Independent Director of Vodafone Group Plc., since January 1, 2011. She brings comprehensive knowledge of the high technology sector developed from her long career at Intel Corporation where she was appointed president. Her extensive experience of international management and the development and implementation of corporate strategy is an asset to the Board and Remuneration Committee.",,,,,,,,,
"Vodafone Group plc","							Samuel;Jonah",null,2009,                                 Non-Executive Independent Director," 					 							Sir Samuel Esson Jonah (Sam) KBE, OSG is Non-Executive Independent Director of Vodafone Group Plc., since April 1, 2009. He brings experience and understanding of business operations in emerging markets, particularly Africa. Previously executive president of AngloGold Ashanei Ltd and member of the Advisory Council of the President of the African Development Bank, he provides an international, commercial perspective to Board discussions.",,,,,,,,,
"Vodafone Group plc","							Nick;Land",69,2006,                                 Non-Executive Independent Director," 					 							Mr. Nick C. E. Land is no longer the Non-Executive Independent Director of Vodafone Group Plc., effective July 28, 2017. After a career spanning 36 years at Ernst & Young UK where Nick was executive chairman, he brings strong financial expertise and experience of dealing with major corporations in many parts of the world to the Board and to his role as Chairman of the Audit and Risk Committee.",,,,,,,,,
"Vodafone Group plc","							David;Nish",56,2016,                                 Non-Executive Independent Director," 					 							Mr. David T. Nish is Non-Executive Independent Director of the Company since 1 January 2016. He has wide-ranging operational and strategic experience as a senior leader and has a strong understanding of financial and capital markets through his previous directorships which include chief executive officer and chief financial officer of Standard Life plc and chief financial officer of Scottish Power plc.",,,,,,,,,
"Vodafone Group plc","							Philip;Yea",61,2015,                                 Senior Non-Executive Independent Director," 					 							Mr. Philip E. Yea is no longer the Senior Non-Executive Independent Director of Vodafone Group Plc., effective 28 July 2017. His experience as chief financial officer of Diageo plc and in the private equity industry at Investcorp and 3i Group plc, together with his knowledge of the Vodafone Group, makes him a valued member of the Board. Philip’s financial expertise is an asset to his role as member of the Audit and Risk Committee.",,,,,,,,,
"Vodafone Group plc","							Anthony;Hamilton",null,null,                                 Senior Manager - Investor Relations," 					 							",,,,,,,,,
"Whole Foods Market, Inc","							Gabrielle;Greene-Sulzberger",56,2017,                                 Chairman of the Board," 					 							Ms. Gabrielle E. Greene-Sulzberger is Chairman of the Board of Whole Foods Market, Inc. Ms. Sulzberger has served as a Principal of a diversified investment fund, Rustic Canyon/Fontis Partners, LP, since its inception in October 2005. In addition, Ms. Sulzberger served as Chief Financial Officer of the Villanueva Companies, a private holding company with diverse investment interests, from 2002 through 2005. Ms. Sulzberger also serves on the boards of directors of Teva Pharmaceutical Industries Ltd. and Brixmor Property Group Inc. Ms. Sulzberger served on the board of directors of Stage Stores, Inc. until June 2015.",,,,,,,,,
"Whole Foods Market, Inc","							Anthony;Gallo",63,2010,"                                 President, Chief Operating Officer"," 					 							Mr. Anthony C. Gallo is President, Chief Operating Officer of the Company, since May 2010. Prior to that, Mr. Gallo was co-President and co-Chief Operating Officer since September 2004. Mr. Gallo also served as Chief Operating Officer from December 2003 to September 2004. Mr. Gallo has held various positions with the Company and with Bread & Circus, Inc., which was acquired by the Company in October 1992, including Vice President and President of the North Atlantic Region, and Executive Vice President of Operations.",,,,,,,,,
"Whole Foods Market, Inc","							John;Mackey",63,2010,"                                 Co-Chief Executive Officer, Co-Founder, Director"," 					 							Mr. John P. Mackey is Co-Chief Executive Officer, Co-Founder, Director of Whole Foods Market, Inc. He was Co-Chief Executive Officer from May 2010 to December 2016, was Chief Executive Officer from 1978 to May 2010 and was President from 2001 to 2004. Mr. Mackey has served as a director of the Company since 1978 and served as Chairman of the Board from 1978 through December 2009.",,,,,,,,,
